Name,Address,Postcode,Telephone,Email,Opening hours,Facilities,Activities,Prices,Timetables,More information,Location,Navigation ID
Saughton Skatepark,Balgreen Road,EH11 3BQ,0131 529 7921,parks@edinburgh.gov.uk,"Tuesday,Wednesday,Thursday",,"BMX 
Inline skating
Skateboarding",45,,,"55.937721,-3.247924",
Saughton Sports Complex,Stevenson Drive,EH11 3HB,0131 444 0422,,"Tuesday,Wednesday,Thursday","All weather 3G* pitch suitable for football matches (up to 11-a-side), football training, and rugby training
Athletics track
Changing facilities
Free car parking
Grass football pitches suitable for 11-a-side","Athletics
Football (7-a-side and 11-a-side)
Rugby",50,,,"55.93383,-3.256828",
Seafield Recreation Ground,Craigentinny Avenue,EH7 6RD,0131 669 0404,sportspitch@edinburghleisure.co.uk,Tuesday,,Football,Free,,,"55.960932,-3.136333",
Sighthill Park,Broomhouse Road,EH11 3UP,0131 527 3800,sportspitch@edinburghleisure.co.uk,Monday,,"Football
Skateboard park",Free,,,"55.927412,-3.283188",
Silverknowes Golf Course,Silverknowes Parkway,EH4 5LB,0131 336 3843,,Sunday,"Silverknowes is based on the south shores of the River Forth with commanding views over to the Kingdom of Fife and Cramond Island.  A Par 71 stretching out to 6300 yards, with lush, generous fairways it invites golfers to have fun hitting their driver.  A day at Silverknowes will have you marvelling at the views, and enjoying the challenge of this beautiful park land, tree lined course.  The course is suitable for golfers of all abilities and ages, with golf buggies available for hire.",Golf,60,,,"55.972338,-3.268571",
St Margaret's Park,Corstorphine High Street,EH12 7SX,0131 669 0878,,Tuesday,"Bowling green
Tennis court","Bowling
Tennis",30,,,"55.940549,-3.284855",
The Meadows and Bruntsfield Links,Melville Drive,EH9 9EX,0131 458 2100(Edinburgh Leisure) 0131 443 0101(Tennis) 0845 250 4394(Meadows Croquet Club),sportspitch@edinburghleisure.co.uktennis@edinburghleisure.co.ukenquiries@meadowscroquet.org.uk,Monday,"Bowling (for clubs and organisations, via the Meadows Croquet Club)
Café
Cricket
Croquet (3 full-sized lawns and a pavilion; also used for bowling)
Cycle paths
Pitch and putt
Tennis
Toilets","Bowling
Cricket
Croquet
Cycling
Pitch and putt
Tennis",40,,"The tennis complex is in the East Meadows. The Meadows Croquet Club is at the west end of the Meadows, between Leven Terrace and Melville Drive.","55.939945,-3.191865",
Union Park,Saughton Road North,EH12 7EF,0131 529 7440,sportspitch@edinburghleisure.co.uk,Wednesday,,Rugby,20,,,"55.936614,-3.278738",
Victoria Park,Newhaven Road,EH6 5PY,"0131 529 5050
0131 669 0878 (bowling)",,Friday,"Ball court
Bowling green
Cycle route","Basketball
Bowling
Cycling
Football",40,,,"55.974292,-3.18978",
Warrender Swim Centre,Thirlestane Road,EH9 1AP,0131 447 0052,,Saturday,"Gym (36 pieces of equipment)
Sauna
Swimming pool (5 lanes)","Aquafit
Swimming lessons
Swimming times for adults and children
Swimming times for adults only",20,http://www.edinburghleisure.co.uk/list-115,,"55.935599,-3.198279",
West Pilton Park,West Pilton Avenue,EH4 4BU,0131 529 5050,,Sunday,Playing fields,Football,30,,,"55.969426,-3.245773",
